anime_cast,anime_company,anime_name,anime_region,anime_status,anime_tag,anime_url,anime_view,anime_year
高垣彩阳|嶋村侑|逢坂良太|福井裕佳梨|寿美菜子|佐藤拓也,,敢达 Reconguista in G,日本,完结,科幻|机战,http://www.dilidili.wang/anime/g-reco/,一季两部作？富野由悠季也太拼,2014年10月
安济知佳|间岛淳司|山本和臣|细谷佳正|野水伊织|斋藤千和,BONES,棺姬嘉依卡 第一季,日本,完结,萝莉|推理|冒险|奇幻|恋爱,http://www.dilidili.wang/anime/chaika/,修罗场流浪记,2014年4月
,,功夫熊猫之卷轴的秘密,,完结,冒险|奇幻|动作|剧场版,http://www.dilidili.wang/anime/kungfupanda/,灵活的大胖子,2016年4月
大久保瑠美|丰崎爱生|铃木达央|茅野爱衣|日高里菜|柿原彻也|小山力也|樱井孝宏|中原麻衣,,跟班×服务,日本,完结,搞笑|治愈系|恋爱,http://www.dilidili.wang/anime/servantservice/,都市职场日常,2013年7月
户松遥|逢坂良太|吉野裕行|濑户麻沙美|浪川大辅|木村良平|小野友树|中村悠一,日昇动画,革命机Valvrave,日本,完结,科幻|机战|乙女,http://www.dilidili.wang/anime/valvrave/,机甲类，CV爆炸的智商机,2013年4月
宫野真守|池田秀一|山口胜平|石冢运升|市道真央|喜多村英梨,,怪盗基德1412,日本,完结,推理|童年,http://www.dilidili.wang/anime/magickaito1412/,黑羽快斗这个装逼男成为了主角不能忍！万年小学生弄死他！,2014年10月
宫野真守|本多真梨子|赤羽根健治|大坪由佳|菅沼久义|立花慎之介|铃木达央|牧野由依|内田雄马|日野聪|市道真央|松冈祯丞|藤田咲|中岛爱,,国王游戏,日本,完结,冒险,http://www.dilidili.wang/anime/kingsgame/,国王发送的邮件中的命令，请在24小时内绝对遵守。,2017年10月
白石凉子|川澄绫子|加隈亚衣|津田美波|内山昂辉|三上枝织|藤井雪代|相坂优歌|野中蓝,京都动画,甘城光辉游乐园,日本,完结,搞笑|轻小说|后宫|奇幻,http://www.dilidili.wang/anime/amaburi/,,2014年10月
阿澄佳奈|井口裕香|井上麻里奈|内田真礼|五十岚裕美|伊藤静|樱井孝宏|羽多野涉|斋藤千和,GONZO,狗与剪刀的正确使用方法,日本,完结,搞笑|轻小说|后宫,http://www.dilidili.wang/anime/inuhasami/,女王大人！请尽情鞭打甘愿添足的您的狗的我！,2013年7月
,Ordet,宫河家的空腹,日本,完结,,http://www.dilidili.wang/anime/gonghe/,两位主角是在NDSS游戏《荣幸星 萌钻头》中初登场的原创角色宫河日向和宫河日影两姐妹，她们也曾在《荣幸星》的TV动画中登场。,
内田真礼|三森铃子|下野纮,动画工房,GJ部,日本,完结,搞笑|青春|轻小说|后宫|泡面番,http://www.dilidili.wang/anime/Gujjobu/,一起加入美少女GJ部吧！,2013年1月
市来光弘|野水伊织|悠木碧,Diomedéa,关我碧事,日本,完结,搞笑|青春,http://www.dilidili.wang/anime/girlfriendbitch/,平凡的高校生・篠崎遥，有着憧憬的对象。,2017年10月
福岛润,,怪物弹珠剧场版,日本,完结,搞笑|冒险|奇幻|剧场版,http://www.dilidili.wang/anime/monsterstrikejcb/,,2017年7月
,,光速大冒险PIPOPA,日本,,科幻|冒险,http://www.dilidili.wang/anime/pipopa/,,2017年7月
花江夏树|大久保瑠美|丰永利行|金元寿子|内匠靖明|潘惠美|石见舞菜香,PINE JAM|Triple A,Gamers电玩咖！,日本,完结,恋爱,http://www.dilidili.wang/anime/gamers/,擦肩而过青春错综系恋爱喜剧,2017年7月
大地叶|石上静香|小西克幸|小原好美|樱井孝宏,Production I.G,咕噜咕噜魔法阵第三季,日本,完结,搞笑|冒险|童年,http://www.dilidili.wang/anime/glglmfzdsj/,配合《咕噜咕噜魔法阵》连载25周年将第三度推出动画作品，第三部动画化的内容会从尼克和柯柯丽相遇开始。,2017年7月
绪方贤一,日本动画公司,咕噜咕噜魔法阵第二季,日本,完结,搞笑|治愈系|童年,http://www.dilidili.wang/anime/gulugulu2/,本片是《咕噜咕噜魔法阵》系列的第2部，风格更为贴近治愈系，剧情是对前作的后半部（24-45集）进行重新演绎，不过也继承了前作1-23集的所有设定，因此观看本片前，不妨先看下第1部的前23集吧。,2010年之前
德井青空|饭田里穗|加藤英美里|潘惠美|三森铃子|五十岚裕美|诹访彩花,,怪兽娘～奥特怪兽拟人化计划～ 第二季,日本,完结,奇幻|美少女|泡面番,http://www.dilidili.wang/anime/mysteriousgirls2/,终于对怪兽下手了~~~,2018年1月
三泽纱千香,,怪盗丽娅,日本,完结,奇幻,http://www.dilidili.wang/anime/guaidaoliya/,一个逗比怪盗的故事,
坂本真绫|咲野俊介|新垣樽助|泽城美雪|中井和哉,Production I.G,攻壳机动队剧场版,日本,完结,科幻|剧场版,http://www.dilidili.wang/anime/gkjddjcb/,机械生化人未来世界大战,2000年之前
村濑步|下野纮|小林由美子|泽城美雪,SHIN-EI,怪盗Joker第一季+第二季,日本,完结,冒险,http://www.dilidili.wang/anime/jokerdyj/,拥有华丽欺诈、奇迹般神出鬼没的怪盗Joker，在和警察、敌人的斗智斗勇中，一次次在各种陷阱、圈套，将目标宝物成功盗出的故事,2014年10月
,TMS娱乐,哥普拉剧场版,日本,完结,科幻|机战,http://www.dilidili.wang/anime/SpaceCobraj/,,2000年之前
榊原良子,TMS娱乐,哥普拉,日本,完结,科幻|机战|冒险,http://www.dilidili.wang/anime/SpaceCobra1/,,2000年之前
山口胜平|榊原良子|小林清志|咲野俊介,,哥普拉 第二季,日本,完结,科幻|机战|冒险,http://www.dilidili.wang/anime/SpaceCobra2/,,
广桥凉|钉宫理惠|金田朋子|堀江由衣|绿川光|三上枝织|桑岛法子|神谷浩史|伊藤加奈惠|斋藤千和|中井和哉,,光明之心,日本,完结,冒险|奇幻,http://www.dilidili.wang/anime/gmzxxfdmb/,光明之心游戏改编,
安元洋贵|平川大辅|上坂堇|柿原彻也|松山鹰志|喜多村英梨|细谷佳正|小仓唯|小林由美子|游佐浩二|种崎敦美,,鬼灯的冷彻OAD,日本,完结,搞笑|奇幻,http://www.dilidili.wang/anime/hozukioad/, 鬼灯的冷彻OAD动画全集改编自江口夏实所著同名漫。鬼灯的冷彻OAD将随漫画17卷15/02/23，18卷15/05/22，19卷15/08/21，第1弹12月先行上映。,
逢坂良太|浅仓杏美|日笠阳子|梶裕贵|小山力也|野岛健儿|伊藤静|中村悠一|竹达彩奈,,高校学园D×D HERO,日本,连载中,热血|后宫|奇幻,http://www.dilidili.wang/anime/haremking/,「你已经作为了恶魔而转生了。为我效力吧！」,2018年4月
福圆美里|堀江由衣|小栗旬|折笠富美子,,钢琴之森 剧场版,日本,完结,治愈系|剧场版,http://www.dilidili.wang/anime/gqzsjcb/,“艺术源于生活且高于生活”。,2010年之前
杉田智和,,工作的哥哥!,日本,完结,搞笑|泡面番,http://www.dilidili.wang/anime/gongzuodegg/,,2018年1月
安元洋贵|柿原彻也|松山鹰志|喜多村英梨|小林由美子|种崎敦美,,鬼灯的冷彻 第贰期 其之贰,日本,完结,搞笑|奇幻,http://www.dilidili.wang/anime/hozuki22/,喧闹而又快乐的地狱每一天仍将继续,2018年4月
丰口惠美|朴璐美,,钢之炼金术师 剧场版,日本,完结,热血|冒险|奇幻|励志|动作|剧场版,http://www.dilidili.wang/anime/hagarenjcb/,,2010年之前
安元洋贵|平川大辅|上坂堇|柿原彻也|松山鹰志|喜多村英梨|小仓唯|小林由美子|游佐浩二|种崎敦美|诹访彩花|佐藤聪美,STUDIO DEEN,鬼灯的冷彻 第二季,日本,完结,搞笑|奇幻,http://www.dilidili.wang/anime/hozuki2/,地狱搞笑日常回归,2017年10月
,ZEXCS,光～联系着刈谷的故事～,日本,完结,励志,http://www.dilidili.wang/anime/yigu/,宣传城市,
花江夏树|前野智昭|细谷佳正|小野贤章,,高校星歌剧 第二季,日本,完结,搞笑|青春,http://www.dilidili.wang/anime/opera2/,放弃梦想的方法，我不知道——”,2017年4月
,,GO!纯情水泳部!,日本,完结,搞笑|运动|后宫|美少女,http://www.dilidili.wang/anime/cunqinshuiyonu/,嘿嘿嘿额!!!,
安元洋贵|白石晴香|柿原彻也|小清水亚美|野岛健儿,动画工房,干物妹！小埋 第二季,日本,完结,搞笑|治愈系,http://www.dilidili.wang/anime/umaru2/,干物妹小埋回归！,2017年10月
大地叶|大空直美|井上喜久子|久保由利香|三瓶由布子|松井惠理子|竹达彩奈,ZERO-G,怪怪守护神,日本,完结,搞笑|奇幻,http://www.dilidili.wang/anime/cikumomo/,与抖S美少女桐叶一起，面对接连发生的怪异事件，“妖怪动作喜剧”就此开幕！,2017年4月
倉田雅世|江原正士|井上喜久子|铃村健一|折笠富美子|诹访部顺一,GONZO,钢铁守护者,日本,完结,机战|热血,http://www.dilidili.wang/anime/GAD/,快递件里出来的人形机器,2010年之前
倉田雅世|榎本温子|三石琴乃|桑岛法子|田中理恵,,钢铁天使久留美2式,日本,完结,冒险|童年|美少女|百合,http://www.dilidili.wang/anime/gangttsjlm2/,少年仲人无意中闯入了绫小路博士的实验室，阴差阳错地启动了博士研究的钢铁,
堀内贤雄|西村知道|中井和哉,,工作狂,日本,完结,励志|乙女,http://www.dilidili.wang/anime/gongzuokuang/,尽管如此，弘子仍为了做好工作， 每当投入工作岗位或出外取材时就会变为“工作狂人”。只要努力工作， 跟是男是女都无关！,
福井裕佳梨|井上喜久子|山口胜平|中原麻衣,,怪盗MOUSE,日本,完结,推理|美少女,http://www.dilidili.wang/anime/guaidaomor/,位于东京都世田谷区的山之上学园是从小学直升大学，学生数量3万人的学园。無音宙太是美术院系的大学生。在学园的高等部工作了美术的外聘讲师。平常老实的宙太在学生们中有不少人气。,
,东映动画,光之美少女剧场版合集,日本,完结,青春|美少女|剧场版,http://www.dilidili.wang/anime/dreamStars22/,光之美少女们与之前的全明星系列一样都会互相认识并成为朋友,2017年4月
伊藤美来|长绳麻理亚,,哥哥锻炼！XX,日本,完结,运动|后宫|泡面番,http://www.dilidili.wang/anime/aninore2/,看了介绍你就懂了第二季,2016年10月
阪口大助|福山润|菅生隆之|千叶进步|千叶纱子|清水爱|根谷美智子|若本规夫|三木真一郎|三宅健太|松风雅也|藤原启治|小林沙苗|小杉十郎太|小西克幸|樱井孝宏|柚木凉香,SATELIGHT,钢铁侦探J,日本,完结,科幻|热血|冒险,http://www.dilidili.wang/anime/heatguyj/,男子汉气息的血性动画,2010年之前
岸尾大辅|村濑步|松冈祯丞|下野纮|小林由美子|泽城美雪,,怪盜Joker第四季,日本,完结,冒险,http://www.dilidili.wang/anime/kaidojoker4/,和怪盗joker一起去冒险吧！,2016年10月
